Text,Text_Clean,Sentiment,Platform,Timestamp,User,Hashtags,Likes,Retweets,Country,Text_Length,Word_Count,Year,Month,Day,Hour,Date
Enjoying a beautiful day at the park!,enjoying a beautiful day at the park,Positive,Twitter,2023-01-15 12:30:00,User123,#Nature #Park,30.0,15.0,USA,37,7,2023,1,15,12,2023-01-15
Traffic was terrible this morning.,traffic was terrible this morning,Negative,Twitter,2023-01-15 08:45:00,CommuterX,#Traffic #Morning,10.0,5.0,Canada,34,5,2023,1,15,8,2023-01-15
Just finished an amazing workout! 💪,just finished an amazing workout 💪,Positive,Instagram,2023-01-15 15:45:00,FitnessFan,#Fitness #Workout,40.0,20.0,USA,35,6,2023,1,15,15,2023-01-15
Excited about the upcoming weekend getaway!,excited about the upcoming weekend getaway,Positive,Facebook,2023-01-15 18:20:00,AdventureX,#Travel #Adventure,15.0,8.0,UK,43,6,2023,1,15,18,2023-01-15
Trying out a new recipe for dinner tonight.,trying out a new recipe for dinner tonight,Neutral,Instagram,2023-01-15 19:55:00,ChefCook,#Cooking #Food,25.0,12.0,Australia,43,8,2023,1,15,19,2023-01-15
Feeling grateful for the little things in life.,feeling grateful for the little things in life,Positive,Twitter,2023-01-16 09:10:00,GratitudeNow,#Gratitude #PositiveVibes,50.0,25.0,India,47,8,2023,1,16,9,2023-01-16
Rainy days call for cozy blankets and hot cocoa.,rainy days call for cozy blankets and hot cocoa,Positive,Facebook,2023-01-16 14:45:00,RainyDays,#RainyDays #Cozy,20.0,10.0,Canada,48,9,2023,1,16,14,2023-01-16
The new movie release is a must-watch!,the new movie release is a mustwatch,Positive,Instagram,2023-01-16 19:30:00,MovieBuff,#MovieNight #MustWatch,30.0,15.0,USA,38,7,2023,1,16,19,2023-01-16
Political discussions heating up on the timeline.,political discussions heating up on the timeline,Negative,Twitter,2023-01-17 08:00:00,DebateTalk,#Politics #Debate,60.0,30.0,USA,49,7,2023,1,17,8,2023-01-17
Missing summer vibes and beach days.,missing summer vibes and beach days,Neutral,Facebook,2023-01-17 12:20:00,BeachLover,#Summer #BeachDays,35.0,18.0,Australia,36,6,2023,1,17,12,2023-01-17
Just published a new blog post. Check it out!,just published a new blog post check it out,Positive,Instagram,2023-01-17 15:15:00,BloggerX,#Blogging #NewPost,45.0,22.0,USA,45,9,2023,1,17,15,2023-01-17
